id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
82,Shawnee Peak,maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,103,1,110,,,81,110,http://www.onthesnow.com/maine/shawnee-peak/ski-resort.html
83,Sugarloaf,maine,4237,2820,1417,0,0,0,2,3,1,5,2,13,162,4,3.5,1240,618,159,155,0,,,,68,200,http://www.onthesnow.com/maine/sugarloaf/ski-resort.html
84,Sunday River,maine,3140,2340,800,1,0,0,4,5,3,1,1,15,135,5,3,870,552,165,169,1,140,,,60,167,http://www.onthesnow.com/maine/sunday-river/ski-resort.html
85,Wisp,maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,120,1,118,,,64,100,http://www.onthesnow.com/maryland/wisp/ski-resort.html
86,Berkshire East,maryland,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,120,1,80,,,68,120,http://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html
87,Blandford Ski Area,maryland,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132,70,,106,1,70,,,83,50,http://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html
88,Blue Hills Ski Area,maryland,635,309,326,0,0,0,0,0,0,1,3,4,16,1,,60,60,,99,0,,,,19,,http://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html
89,Bousquet Ski Area,maryland,1875,750,1125,0,0,0,0,0,0,3,2,5,23,1,1,200,98,,65,1,100,,,19,83,http://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html
90,Bradford Ski Area,maryland,1548,248,1300,0,0,0,0,0,2,0,8,10,15,1,0.3,48,48,,96,0,,,,71,,http://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html
91,Jiminy Peak,maryland,2380,1150,1230,0,0,1,0,2,3,1,2,9,45,3,2,167,163,121,120,1,104,,,71,90,http://www.onthesnow.com/massachusetts/jiminy-peak/ski-resort.html
92,Nashoba Valley,maryland,440,240,200,0,0,0,0,0,3,1,7,11,17,2,0.5,52,52,112,126,1,52,,,55,55,http://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html
